#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
43,"Fly Me To The Moon (In Other Words)","Frank Sinatra,Count Basie",75,119,"adult standards, easy listening, lounge, big band, harlem renaissance, jazz, jazz piano, swing, vocal jazz","Easy listening, Jazz","Sinatra/Basie: The Complete Reprise Studio Recordings",1962-12-10,02:27,67,26,45,0,37,0,0,-14,G Major,4,2023-12-07,5b7OgznPJJr1vHNYGyvxau,"FRANK SINATRA DIGITAL REPRISE",9B,,https://i.scdn.co/image/ab67616d00004851cb81eb3c1238c60f2bbfd3b5
44,"Yes Rakı,No Pain (64Bars)","Ozbi,Da Poet",37,141,"turkish hip hop, turkish rock, turkish trap","Hip Hop, Rock","Yes Rakı,No Pain (64Bars)",2022-05-25,03:45,78,80,12,0,72,20,0,-6,D Major,4,2023-12-07,3mahDFlRtG3ajKTEDajNSF,"OzbiMusic",10B,https://p.scdn.co/mp3-preview/49f7e2a30cb787a508a5fe1e8df1a4c83a180888?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513395363d978e6e95f17efec5
45,"Gangsta's Paradise","Coolio,L.V.",87,80,"g funk, gangster rap, hip hop, west coast rap, ","Hip Hop","Gangsta's Paradise",1995-11-07,04:00,65,51,7,0,39,0,40,-10,G#/A♭ Major,4,2023-12-07,1DIXPcTDzTj8ZMHt3PDt8p,"Tommy Boy Music, LLC",4B,https://p.scdn.co/mp3-preview/1454c63a66c27ac745f874d6c113270a9c62d28e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c31d3c870a3dbaf7b53186cc
46,"sugar","Zubi",65,96,"afro r&b","R&B","next chapter",2020-09-11,03:25,77,61,41,5,89,20,10,-10,D#/E♭ Minor,4,2023-12-07,7gqTTiYsHpG3ouQ8QKzzAi,"2020 dojang",2A,https://p.scdn.co/mp3-preview/287b4da7202d3e5a70b0fbd4f9e642e88c0084fd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851939e81f0211aa04ddebe68e3
47,"Smells Like Teen Spirit","Jaydan Wolf,Te Pai,Kosimo",58,126,"","","Smells Like Teen Spirit",2022-08-05,02:04,71,78,3,0,34,10,20,-5,G#/A♭ Major,4,2023-12-07,3PJvNwNj6AhlVxm69dcyTB,"LoveStyle Records",4B,https://p.scdn.co/mp3-preview/6d4f1087733b1b0b173c5738c239b40b823785b1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485152d049b92e6b7c008dd4070d
48,"MOTTO","NF",70,80,"hip hop, pop rap","Hip Hop","HOPE",2023-04-07,03:37,69,88,8,0,72,30,20,-4,C Minor,4,2023-12-07,0pHrAAe6sSVDeUeNe5IesY,"NF Real Music II",5A,,https://i.scdn.co/image/ab67616d00004851ff8a4276b3be31c839557439
49,"Indigo Night","Tamino",62,112,"belgian indie","Rock","Amir",2018-10-19,04:15,54,34,63,12,15,0,10,-11,D#/E♭ Minor,4,2023-12-07,62DFvt3IhKq2i8wyigqeFO,"Communion Music",2A,,https://i.scdn.co/image/ab67616d00004851ef506280e70e4dbba1c94bc9
50,"Pieces","AVAION",71,120,"","","Pieces",2019-11-15,03:16,70,27,87,32,20,0,10,-13,E Major,4,2023-12-07,5H95n43z0KFcXGCEc0ewe1,"RCA Local",12B,https://p.scdn.co/mp3-preview/f28f12d43b660a20b68bef81469dcce286ce106e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514f205c7786a248e23179f7f7
51,"ŞARKILAR SOKAKLARA AİT","Norman Mondragon",0,126,"","","MORTAL KOMBAT",2023-10-20,03:13,58,42,38,0,21,20,10,-12,G Major,5,2023-12-07,0Uo1xx3pzjJ4xOSZFn3v4t,"Independent",9B,https://p.scdn.co/mp3-preview/186c4d0904834ced723780f9ccf893bdb2256897?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b68a73a81aa506875dd2fbbd
52,"I Am Going Home","Roseaux,Ben L'Oncle Soul",46,168,"hip-hop experimental, indie soul","Electronic, R&B","Roseaux II",2019-09-06,05:08,35,22,72,0,23,0,10,-10,D Minor,3,2023-12-07,25MBwwW6YjZoioaIg8iXYp,"Tôt Ou Tard",7A,https://p.scdn.co/mp3-preview/d6a096da59e816d3d2daa901c672e3c051cec1a8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851bb174404fed460e21ecebf4f
53,"Human","Rag'n'Bone Man",81,75,"neo soul","R&B","Human (Deluxe)",2017-02-10,03:20,60,71,39,0,55,30,10,-4,A Major,4,2023-12-07,58zsLZPvfflaiIbNWoA22O,"Best Laid Plans/Columbia",11B,https://p.scdn.co/mp3-preview/8c1cad46231be436ff9e13a71f52df2135398850?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485190a788beadaad34ff684d3ec
