#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
87,"Survive (feat. Emeli Sandé, Gucci Mane)","Don Diablo,Emeli Sandé,Gucci Mane",55,100,"dutch house, edm, electro house, future house, pop dance, progressive electro house, r&b, talent show, uk pop, atl hip hop, dirty south rap, hip hop, pop rap, rap, southern hip hop, trap","Hip Hop, Electronic, R&B, Pop","Survive (feat. Emeli Sandé, Gucci Mane)",2018-11-23,03:09,59,77,71,0,36,20,10,-7,A#/B♭ Minor,4,2023-12-07,1gnKUue6F9gXXHQshCBwEs,"Virgin",3A,,https://i.scdn.co/image/ab67616d00004851eb2dfa56c68c480b11285593
88,"Move Your Body","Öwnboss,Sevek",79,125,"brazilian edm, pop dance","Electronic","Move Your Body",2021-10-29,02:37,85,82,2,0,25,0,10,-5,D Minor,4,2023-12-07,6GomT970rCOkKAyyrwJeZi,"Musical Freedom",7A,https://p.scdn.co/mp3-preview/86d6200edc5e8c68e89e22a126d1dbf7b73b7a90?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851dbe45fee4e36211b4bf8de71
89,"Through Your Eyes","Axway,Lone Tusker,RANIA",51,117,"","","Through Your Eyes",2023-03-24,02:36,63,87,0,0,15,20,60,-5,A Minor,4,2023-12-07,0EjUhsHROYeF5heaiOstny,"Gahara",8A,https://p.scdn.co/mp3-preview/b882cce311b7a84aa90e44365d456413426c5774?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e549afc2be79bc33abacba46
90,"Dünyanın En Güzel Kızı","Mavi Gri",64,160,"turkish alt pop, turkish rock","Pop, Rock","Gök Mavi Yer Gri",2022-12-09,03:37,52,80,1,0,78,0,20,-8,F#/G♭ Minor,4,2023-12-07,3naYqiHrwFLitIKYHHJgvo,"Mavi Gri",11A,https://p.scdn.co/mp3-preview/0e5c2861721c742892fce3e45212c8bb1dd18717?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ac7f07d2c6ebcae73774d120
91,"Saygımdan","Bengü",67,128,"turkish pop","Pop","İkinci Hal",2014-10-17,04:31,73,66,28,0,62,0,20,-5,F Minor,4,2023-12-07,4E10qEzOmTIVmrg6Wz2RHj,"DOĞAN MÜZİK YAPIM",4A,https://p.scdn.co/mp3-preview/a1a669225eed5d1bff889298460b5dec661e064c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485197ad00a32edde479dfa03c8b
92,"Dance While You Can","Michelle Gurevich",47,156,"slowcore","Folk/Acoustic","New Decadence",2016-09-28,03:36,70,42,13,0,51,0,0,-11,G#/A♭ Minor,4,2023-12-07,5jGQGGnoZjezNqLZqnEtsH,"Michelle Gurevich",1A,https://p.scdn.co/mp3-preview/5bc5e66d5e426d90ef35d086d73d2438c0d9ee77?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851cf65ff79782301050a168589
93,"Vertigo","Surfliner,Wendy Lane",45,202,"boston indie, ","Rock","Vertigo",2020-08-05,04:35,34,65,37,0,19,0,10,-8,C Major,4,2023-12-07,74i0OhucbtBUhlM607Mp3j,"North By South",8B,https://p.scdn.co/mp3-preview/bb462b7551cbc3a75de4a4038a1644259dec0bef?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485111436c0ceab57f27184acbb8
94,"Buy My Soul","Giulian Charles",40,186,"","","Buy My Soul",2019-05-15,03:45,55,55,37,0,46,0,10,-7,G#/A♭ Minor,3,2023-12-07,3uij7MRTbOBKJN5m3sadPV,"Emma Productions",1A,https://p.scdn.co/mp3-preview/b6c555401a862aebbcee2f31cac5260c2099ad39?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851dcb04422bc6fba7efaf7ce77
95,"Sometimes,IDontUnderstand","surrenderdorothy",55,115,"cloud rap","Hip Hop","Sometimes,IDontUnderstand",2018-06-13,01:58,67,47,29,53,15,0,10,-13,C♯/D♭ Major,4,2023-12-07,0eDiIlMLfW6waelfXevwsI,"SurrenderDorothy",3B,https://p.scdn.co/mp3-preview/5afaa7198178a87e5025ed30de97d03091c7037b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485130d99bb5f0a54ece1ff6090b
96,"Uzunlar - V1","Evdeki Saat",68,170,"turkish alt pop, turkish alternative rock, turkish rock","Pop, Rock","Uzunlar",2020-02-14,04:42,56,59,18,0,97,0,0,-10,G Minor,4,2023-12-07,1vLkBVAy8ZWrqcQjYTPP3a,"AVRUPA MÜZİK YAPIM",6A,https://p.scdn.co/mp3-preview/253bc1b33bf3b85ff83cea917fc270a84216ab13?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851917b71d0a9aa3396f0031c40
97,"Starlight","Drenchill,Jorik Burema",68,124,"pop edm, ","Electronic","Starlight",2023-01-20,02:01,72,80,3,0,35,0,10,-5,A Major,4,2023-12-07,01a7nB3AywapMgbLi3LGbZ,"Zeitgeist",11B,,https://i.scdn.co/image/ab67616d00004851aae41cbe2c743f2c465a0be5
98,"Her","Her",51,95,"french indie pop, french indietronica, rennes indie","Pop, Electronic, New age","Her Tape #1",2016-01-15,04:18,70,46,81,10,11,0,10,-9,G Minor,4,2023-12-07,1x7Ts6pnwIwOOo0vSMNndW,"Universal Music Division Virgin Music",6A,,https://i.scdn.co/image/ab67616d00004851ee50821fc9cc4a9e80078f13
99,"10MG","Motive",61,127,"turkish hip hop, turkish trap","Hip Hop","ROMANTİK",2023-06-16,02:21,74,49,60,0,25,20,10,-10,C♯/D♭ Major,4,2023-12-07,6MFepQNOqgJM35OVRP5XU7,"SAVANA",3B,https://p.scdn.co/mp3-preview/51e7d43cb2a7470d95ef0ed9354ecffc8a0e1f76?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513211aa4479dea52d7dce307c
100,"Hain","Kozmos",48,98,"turkish hip hop","Hip Hop","Hain",2022-03-25,03:01,70,60,11,0,23,0,0,-6,B Minor,4,2023-12-07,4wupcNmslmA9A5O0sjBGQq,"Street Soul!",10A,https://p.scdn.co/mp3-preview/8e996d421bff9bf022d593df0419e91f58e10f5c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514e981962b58f4090ab228962
