#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
11,"Köpekler","Duman",0,122,"anadolu rock, karadeniz turkuleri, turkish alternative, turkish alternative rock, turkish rock","Rock, Pop","Darmaduman",2013-09-12,04:28,44,83,3,0,24,0,30,-5,A Minor,4,2020-11-27,3Ntf0DI5WWb5aFRqdCSbJu,"PASAJ",8A,,https://i.scdn.co/image/ab67616d00004851690c8a1e18cebea2ecfebcd0
12,"Sar Bu Şehri (Akustik)","Canozan",0,189,"turkish alt pop, turkish alternative rock, turkish rock","Pop, Rock","Dolunay",2018-11-16,03:24,35,29,86,0,12,0,10,-11,D Minor,4,2020-11-27,4YiW28JXKVnk0wGTLUfUz8,"Karabalık Records",7A,,https://i.scdn.co/image/ab67616d00004851df9e4f9c6036034011f15221
13,"Halledebilirdik","Birileri",1,144,"turkish alt pop, turkish rock","Pop, Rock","Bir İleri",2016-10-28,05:05,35,68,37,0,32,0,10,-7,B Major,4,2020-11-27,4ChhQZUFq2sqp4siVC5gv4,"Birileri",1B,,https://i.scdn.co/image/ab67616d000048510c6e5558b9563796eaaad460
14,"Wind Of Change","Scorpions",82,152,"album rock, german hard rock, german metal, german rock, hard rock, rock","Rock, Metal","Crazy World",1990-01-01,05:12,45,52,32,0,25,0,10,-10,C Major,4,2020-11-27,3ovjw5HZZv43SxTwApooCM,"Island Mercury",8B,,https://i.scdn.co/image/ab67616d00004851787674b6a114f98cad6f834b
15,"Kırmış Kalbini - Uzun Versiyon","Duman",41,168,"anadolu rock, karadeniz turkuleri, turkish alternative, turkish alternative rock, turkish rock","Rock, Pop","Belki Alışman Lazım",2002-10-16,07:18,30,46,1,0,30,0,10,-8,E Major,4,2020-11-27,2gYrKT4SpfbKtEbhRDGlb7,"EMI - Kent Elektronik Sanayi ve Ticaret A.S.",12B,,https://i.scdn.co/image/ab67616d000048518c0559b991acf898adfede08
16,"Hayal Edemezsin - Akustik","Canozan",0,137,"turkish alt pop, turkish alternative rock, turkish rock","Pop, Rock","Hayal Edemezsin (Akustik)",2020-03-13,03:10,40,41,73,0,35,0,30,-8,A Minor,4,2020-11-27,4jbU3i1bwqInfG2YPjxH5q,"AVRUPA MÜZİK YAPIM",8A,,https://i.scdn.co/image/ab67616d00004851fa55de389e1dd1a6de1be7ac
17,"U-Turn (Lili)","AaRON",0,75,"french indie pop, french rock","Pop, Rock","Artificial Animals Riding On Neverland",2007-00-00,03:50,62,55,40,0,15,0,20,-7,C Major,4,2020-11-27,7FFZNqn3N5TISP4DyqeIVC,"Birds In The Storm & Kid 74",8B,,https://i.scdn.co/image/ab67616d00004851f49ef5090c2eb03dbf6dbe0d
18,"Back To One (feat Clou)","Cocoon,Clou",33,109,"french indie pop, french rock, nouvelle chanson francaise, czech rock","Rock, Pop, World/Traditional","Wood Fire",2019-09-27,03:31,77,61,54,0,56,0,0,-6,C♯/D♭ Minor,4,2020-11-27,2StLQ6zfshGH5lw6BcCfqu,"Universal Music Division Barclay",12A,,https://i.scdn.co/image/ab67616d000048511c5023b94181e415d488c8f5
19,"Melankoli","Duman",0,115,"anadolu rock, karadeniz turkuleri, turkish alternative, turkish alternative rock, turkish rock","Rock, Pop","Darmaduman",2013-09-12,04:24,46,39,27,0,13,0,10,-11,A Minor,4,2020-11-27,3t6eD0Ih0ltE55FwziSl7U,"PASAJ",8A,,https://i.scdn.co/image/ab67616d00004851690c8a1e18cebea2ecfebcd0
20,"Med Cezir","Ceza",63,84,"azeri rap, turkish hip hop","Hip Hop","Medcezir",2002-02-02,04:47,52,94,18,0,71,30,40,-8,G#/A♭ Minor,4,2020-11-27,4ktTv8OPQDbahR4opPanNq,"Hammer Müzik",1A,https://p.scdn.co/mp3-preview/a39e602e45019f7917820690f006cdd977c1205d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/598b08e57a68ffca8838bc1f2aa87e30eaf8aa90
21,"Mister K.","AaRON",0,96,"french indie pop, french rock","Pop, Rock","Artificial Animals Riding On Neverland",2007-00-00,02:57,55,41,81,0,39,0,10,-10,A Minor,3,2020-11-27,1l66jhrfCgksFPWJsFoCe1,"Birds In The Storm & Kid 74",8A,,https://i.scdn.co/image/ab67616d00004851f49ef5090c2eb03dbf6dbe0d
22,"death bed (coffee for your head)","Powfu,beabadoobee",83,144,"sad lo-fi, sad rap, bedroom pop, bubblegrunge, indie pop, pov: indie","Pop, Rock, Electronic, Hip Hop","death bed (coffee for your head)",2020-02-08,02:53,73,43,73,0,35,10,70,-9,G#/A♭ Minor,4,2020-11-27,7eJMfftS33KTjuF7lTsMCx,"Columbia",1A,https://p.scdn.co/mp3-preview/e88548073883ae36ba42ee5f1d1096568e417737?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851bf01fd0986a195d485922167
23,"Belki Alışman Lazım","Duman",50,97,"anadolu rock, karadeniz turkuleri, turkish alternative, turkish alternative rock, turkish rock","Rock, Pop","Belki Alışman Lazım",2002-10-16,03:32,48,95,1,0,53,0,30,-5,G Major,4,2020-11-27,6BFYtu0f53ZNbwn9tPuHzP,"EMI - Kent Elektronik Sanayi ve Ticaret A.S.",9B,,https://i.scdn.co/image/ab67616d000048518c0559b991acf898adfede08
24,"I WILL SURVIVE","Gloria Gaynor",0,117,"disco, soft rock","R&B, Rock","New In Town",2010-07-27,03:17,77,79,13,0,64,0,30,-9,A Minor,4,2020-11-27,0x4GSz5C4XZDkNhFswGboC,"Sall Entertainment Group Inc. \ Fontana North",8A,,https://i.scdn.co/image/ab67616d000048519114f59c948b2f68146b74f0
25,"Sweet Child O' Mine","Guns N' Roses",13,125,"glam metal, hard rock, rock","Metal, Rock","Appetite For Destruction",1987-07-21,05:54,45,91,9,10,63,0,10,-8,F#/G♭ Major,4,2020-11-27,7o2CTH4ctstm8TNelqjb51,"Guns N Roses P&D",2B,,https://i.scdn.co/image/ab67616d0000485168384dd85fd5e95831252f60
26,"Every Breath You Take","Andre Sarbib",0,116,"","","Best of Bossa Lounge (International Version)",2014-06-20,03:40,80,42,39,1,36,0,10,-12,G Major,4,2020-11-27,5pIrYPQ9bVESq9caX9gCmF,"Chet Records",9B,,https://i.scdn.co/image/ab67616d000048519fc8d95ab9017e66591af160
27,"Dibine Kadar","Duman",67,142,"anadolu rock, karadeniz turkuleri, turkish alternative, turkish alternative rock, turkish rock","Rock, Pop","Duman 1",2010-07-06,03:48,44,92,0,0,13,0,10,-7,A Major,4,2020-11-27,5pbFyTdwtJVmZB5LXmccX4,"SONY MUSIC TURKEY",11B,https://p.scdn.co/mp3-preview/b0b194d2dc07704bca92f48a3f7cf100db5e3a23?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485119a949e3e4bd668fc41106fc
28,"Benim Derdim","Ezhel",54,154,"turkish hip hop, turkish trap","Hip Hop","Müptezhel",2017-05-25,04:40,73,68,12,0,52,10,10,-8,G Minor,4,2020-11-27,3RCy0AV1CKCF2h7IAvjfpU,"KOAL",6A,https://p.scdn.co/mp3-preview/dba3149c2061aae0e190a7e63ceaacd0b3c84528?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ecd10eea07796a0edf4fb609
29,"Hele Bi Gel","Pinhani",63,146,"oyun havasi, turkish pop, turkish rock","Pop, Rock","İnandığın Masallar",2006-03-06,03:51,68,58,32,0,62,0,0,-9,A Minor,1,2020-11-27,5nuGiGWV1tGsLYqi0Y8RmZ,"BEĞENİ MÜZİK YAPIM",8A,https://p.scdn.co/mp3-preview/31f356f2732e691503cda2fe18f35cb7b0c23a7c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c3d902df0fa095aa87fd94db
30,"Mutlu Olmak Zordur Derler (Akustik)","Canozan",0,95,"turkish alt pop, turkish alternative rock, turkish rock","Pop, Rock","Mutlu Olmak Zordur Derler (Akustik)",2017-08-09,03:44,53,27,79,0,33,0,10,-10,B Minor,4,2020-11-27,7ud7aoaVOnSGjPSX0WKbJC,"Karabalik Records",10A,,https://i.scdn.co/image/ab67616d00004851a925dbb4ab15eb4b9dab2fd2
31,"Gözleri Kanlı","Duman",0,85,"anadolu rock, karadeniz turkuleri, turkish alternative, turkish alternative rock, turkish rock","Rock, Pop","Darmaduman",2013-09-12,06:02,24,66,11,0,38,0,0,-6,C Minor,1,2020-11-27,7cPGc9B71Z06YO820N2ymk,"PASAJ",5A,,https://i.scdn.co/image/ab67616d00004851690c8a1e18cebea2ecfebcd0
32,"Anlat Ona","Yedinci Ev",67,73,"turkish alternative rock, turkish rock","Rock","Şimdi",2013-08-27,03:34,56,71,7,0,47,0,10,-7,F Minor,4,2020-11-27,1bowbxqFetNltDUe3NtVL4,"ON SANATSAL ETKİNLİKLER",4A,https://p.scdn.co/mp3-preview/064cb2a586f538fe151d444074a3e1018d97b695?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519d7a189a534b5e62b84f5e63
33,"If I Killed Someone For You","Alec Benjamin",75,121,"alt z, pop, pov: indie","Pop","Narrated For You",2018-11-16,03:05,51,61,77,0,41,0,10,-5,G Major,4,2020-11-27,0WHi11uzahqpEtPGYCW6oQ,"2018",9B,https://p.scdn.co/mp3-preview/3287088786e6a202235d368ece4b0901268ce5de?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851459d675aa0b6f3b211357370
34,"Oyunbozan","mor ve ötesi",0,131,"turkish alternative, turkish alternative rock, turkish rock","Pop, Rock","Güneşi Beklerken",2012-12-17,04:37,49,87,0,1,63,0,10,-5,B Minor,4,2020-11-27,4Po5JZuDOXRGHFt0Uhwn80,"RAKUN MÜZİK FİLM",10A,,https://i.scdn.co/image/ab67616d000048519ae6f22ed5954cb61c19a356
35,"Kırmış Kalbini","Duman",58,84,"anadolu rock, karadeniz turkuleri, turkish alternative, turkish alternative rock, turkish rock","Rock, Pop","Belki Alışman Lazım",2002-10-16,04:39,56,47,9,0,34,0,10,-8,E Major,4,2020-11-27,03FeHgtPLgBfBqKD3J3b4E,"EMI - Kent Elektronik Sanayi ve Ticaret A.S.",12B,,https://i.scdn.co/image/ab67616d000048518c0559b991acf898adfede08
36,"Yalan","Athena",0,109,"turkish pop, turkish punk, turkish rock","Pop, Rock","İt",2006-04-15,04:46,49,25,84,0,7,0,30,-13,A Minor,4,2020-11-27,0XuqoosHzwJi1I6McN61JY,"PASAJ",8A,,https://i.scdn.co/image/ab67616d000048511a90288e1e74045275e36d2a
37,"Fırça","Zeynep Bastık",0,150,"turkish pop","Pop","Fırça",2014-10-31,03:59,59,87,25,0,42,0,10,-5,G Minor,4,2020-11-27,5xYWQHsTbVT1Lqpkwks23C,"Promore",6A,,https://i.scdn.co/image/ab67616d00004851516400696e80e396ff9702f8
38,"Another Love","Tom Odell",92,123,"chill pop","Pop","Long Way Down (Deluxe)",2013-06-24,04:04,45,54,70,0,13,0,0,-9,E Minor,4,2020-11-27,3JvKfv6T31zO0ini8iNItO,"ITNO/Columbia",9A,https://p.scdn.co/mp3-preview/0369cb748bc968ffd34fb4ac60f5403f2aad032f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511917a0f3f4152622a040913f
39,"Seni Kendime Sakladım","Duman",66,138,"anadolu rock, karadeniz turkuleri, turkish alternative, turkish alternative rock, turkish rock","Rock, Pop","Seni Kendime Sakladım",2005-07-04,04:02,54,54,55,0,11,0,0,-8,F Minor,4,2020-11-27,4TjX6QIQVSD3j2VAxlR2wa,"EMI - Kent Elektronik Sanayi ve Ticaret A.S.",4A,,https://i.scdn.co/image/ab67616d00004851d5a587c7de8efc3ba32bede7
40,"Can We Kiss Forever?","Kina,Adriana Proenza",76,110,"sad lo-fi, spanish indie pop","Electronic, Pop","Can We Kiss Forever?",2018-08-31,03:07,52,13,89,3,12,0,0,-19,E Major,4,2020-11-27,58wyJLv6yH1La9NIZPl3ne,"Columbia",12B,https://p.scdn.co/mp3-preview/cd3688f74f4f5641fb5047d20c79dc27a8c01125?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485113584782bb6d165483d296ed
41,"Esen","Yüzyüzeyken Konuşuruz",60,90,"turkish alternative rock, turkish rock","Rock","Akustik Travma",2018-02-23,03:01,62,79,2,86,54,0,10,-7,G Major,4,2020-11-27,2IBoAGhwtoBwp0RD2kb9Kb,"SONY MUSIC TURKEY",9B,https://p.scdn.co/mp3-preview/fd525bee0e8cf8be545c961ab39e1b4872186232?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512de642b64eadaeff4697f156
42,"Beatcoin","Ceza",52,125,"azeri rap, turkish hip hop","Hip Hop","Beatcoin",2019-12-26,03:55,91,79,19,1,49,20,10,-5,G Major,4,2020-11-27,5sSKQKLzKqOKxbgUyGlk2w,"ED Müzik",9B,https://p.scdn.co/mp3-preview/d369a6049ef2c3b77b2ae7248c5cfa07a8d6c802?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485194aae36af9b50f26dff29aec
43,"Belki Alışman Lazım - Live At Boğaziçi Üniversitesi Spor Festivali, İstanbul / 2003","Duman",29,105,"anadolu rock, karadeniz turkuleri, turkish alternative, turkish alternative rock, turkish rock","Rock, Pop","Konser (Live)",2003-10-01,04:19,35,88,11,31,30,0,70,-8,G Major,4,2020-11-27,0PAQozhYAvehUC78tZKlNi,"EMI - Kent Elektronik Sanayi ve Ticaret A.S.",9B,,https://i.scdn.co/image/ab67616d00004851344cb1f0ad668b1d372b5333
44,"Kafası Kendinden Bile Güzel","Halil Sezai",55,139,"melancholia, turkish pop","Folk/Acoustic, Pop","Kafası Kendinden Bile Güzel",2014-10-11,02:48,48,29,90,3,27,0,10,-9,G Minor,3,2020-11-27,3IH4kHYbJq5OkAmgE7Xjnt,"Dokuz Sekiz Müzik",6A,https://p.scdn.co/mp3-preview/997ed7ce0fc9e25e610c924f30d829ab8c28bd82?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b1f805a4553dd94d2011d4c6
45,"Without Me","Halsey",84,136,"electropop, etherpop, indie poptimism, pop","Pop","Manic",2020-01-17,03:21,75,49,30,0,53,0,0,-7,F#/G♭ Major,4,2020-11-27,6FZDfxM3a3UCqtzo5pxSLZ,"Capitol Records",2B,,https://i.scdn.co/image/ab67616d000048517636e1c9e67eaafc9f49aefd
46,"Break Ups Suck Ass","Powfu,sadeyes",48,180,"sad lo-fi, sad rap, emo rap","Hip Hop, Electronic","Letter's You Never Received",2019-07-18,02:44,61,33,87,0,61,0,10,-8,F#/G♭ Major,4,2020-11-27,2Yj1sRA7UENRp7p6tt8E1k,"867882 Records DK2",2B,https://p.scdn.co/mp3-preview/0643bb01321b7446003cdac56b8d9c1cab0a51a6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485152520f019e1a3ff99e2ff90a
47,"Hayatı Yaşa - Live At Boğaziçi Üniversitesi Spor Festivali, İstanbul / 2003","Duman",31,101,"anadolu rock, karadeniz turkuleri, turkish alternative, turkish alternative rock, turkish rock","Rock, Pop","Konser (Live)",2003-10-01,07:11,35,74,8,0,31,0,80,-8,A Major,4,2020-11-27,6HMTGCf3E00SlGeJNOBJSx,"EMI - Kent Elektronik Sanayi ve Ticaret A.S.",11B,,https://i.scdn.co/image/ab67616d00004851344cb1f0ad668b1d372b5333
48,"Psycho, Pt. 2","Russ",73,83,"hawaiian hip hop, pop rap","Hip Hop","Psycho, Pt. 2",2016-11-08,02:41,77,55,78,0,42,20,10,-4,A#/B♭ Major,4,2020-11-27,26OhjtaTamFocE08t83ml6,"Russ My Way Inc",6B,https://p.scdn.co/mp3-preview/d4798dfcdeba61c613865076b7ff5f6426554fe4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d76647a817d55638a50c863f
49,"Toprak Yağmura (Akustik)","Canozan",0,174,"turkish alt pop, turkish alternative rock, turkish rock","Pop, Rock","Dolunay",2018-11-16,03:56,28,22,92,0,18,0,50,-15,C Minor,4,2020-11-27,4sCt5tJL9SMAODyiEiVBDd,"Karabalık Records",5A,,https://i.scdn.co/image/ab67616d00004851df9e4f9c6036034011f15221
50,"Sen Anla","Özlem Tekin",52,94,"karadeniz turkuleri, turkish pop, turkish rock","Pop, Rock","Bana Bi'şey Olmaz",2012-11-01,03:51,63,68,5,0,47,0,0,-5,D Minor,4,2020-11-27,5Ax2a3ItybgFZ0zATY2y3v,"Epic",7A,https://p.scdn.co/mp3-preview/89ebf078e1ed8c4c7b15101f62081caa7f556d7a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485123073d9aefeb81956352e491
51,"Haberin Yok Ölüyorum","Duman",63,128,"anadolu rock, karadeniz turkuleri, turkish alternative, turkish alternative rock, turkish rock","Rock, Pop","Belki Alışman Lazım",2002-10-16,06:01,52,58,42,0,34,0,30,-7,A Major,4,2020-11-27,0JVaHDV9om0itoYoYpBBPT,"EMI - Kent Elektronik Sanayi ve Ticaret A.S.",11B,,https://i.scdn.co/image/ab67616d000048518c0559b991acf898adfede08
52,"Benimle Kayboldun","Kaan Boşnak",68,180,"turkish alt pop, turkish rock","Pop, Rock","Demos",2018-06-16,03:09,49,52,22,39,70,0,0,-11,B Minor,4,2020-11-27,6pJI8iZBKPuMjWDstvO081,"Hayırsız",10A,https://p.scdn.co/mp3-preview/1b8239f0daf6bb3da0175c39fdbbaf46139dbba6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851bc1e682a9c9b6db932d307dd
53,"Romeonun Kırık Kalbi","Gökşin Derin",0,133,"huzunlu sarkilar, turkce slow sarkilar","Pop","Depresif",2018-03-14,01:20,83,51,92,13,27,10,10,-14,C Minor,4,2020-11-27,1E24UhyKoEFIUvpdQnj9Xk,"Gökşin Derin",5A,,https://i.scdn.co/image/ab67616d00004851645280438a9d1e849f95bdba
54,"POP","Şam,Seda Erciyes,No.1",0,78,"turkish hip hop, turkish trap, turkish alt pop","Pop, Hip Hop","P.O.P Mixtape, Pt. 2",2019-07-26,02:35,68,53,16,0,57,30,0,-8,A Minor,4,2020-11-27,66DgoWVI7sWtM3sd3iaXWv,"MGL 47",8A,,https://i.scdn.co/image/ab67616d00004851c883c5ccd532a682f277ffec
55,"Sevdim Desem","Duman",44,97,"anadolu rock, karadeniz turkuleri, turkish alternative, turkish alternative rock, turkish rock","Rock, Pop","Duman 1",2010-07-06,03:50,65,79,0,0,41,0,20,-7,B Minor,4,2020-11-27,5WahgdrbR9LCdTo73oCIax,"SONY MUSIC TURKEY",10A,https://p.scdn.co/mp3-preview/613e6e26e7d575cb02b3962ca8c8b267d6a1d096?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485119a949e3e4bd668fc41106fc
56,"Endless Song","AaRON",0,90,"french indie pop, french rock","Pop, Rock","Artificial Animals Riding On Neverland",2007-00-00,04:16,60,60,16,9,32,0,10,-8,C Major,4,2020-11-27,6cP0QwKqKwp2lbzpYA37Fe,"Birds In The Storm & Kid 74",8B,,https://i.scdn.co/image/ab67616d00004851f49ef5090c2eb03dbf6dbe0d
57,"Nefes Bile Almadan","Redd",0,72,"turkish rock","Rock","Plastik Çiçekler ve Böcek (Akustik)",2007-00-00,04:45,45,17,64,0,19,0,10,-14,A Minor,4,2020-11-27,164ufzpkaoxdJvxqB3AiCX,"PASAJ",8A,,https://i.scdn.co/image/ab67616d0000485146ccac27c09dc045797c9723
58,"Acının İlacı","Adamlar",64,78,"turkish rock","Rock","Rüyalarda Buruşmuşuz",2016-10-27,04:47,60,53,10,0,54,0,10,-9,G#/A♭ Minor,4,2020-11-27,3xegx5QZeKRjlLTUN1xfX1,"People Make Music",1A,https://p.scdn.co/mp3-preview/6175ae8a81863cc0a45e25165310f0467bb30a9f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513ae0f560e2cd8c5d4ffef990
59,"Melek","Duman",50,114,"anadolu rock, karadeniz turkuleri, turkish alternative, turkish alternative rock, turkish rock","Rock, Pop","Seni Kendime Sakladım",2005-07-04,04:49,34,52,49,0,7,0,0,-5,E Minor,4,2020-11-27,7m1S7WDiIzuD62gfUu7fWg,"EMI - Kent Elektronik Sanayi ve Ticaret A.S.",9A,,https://i.scdn.co/image/ab67616d00004851d5a587c7de8efc3ba32bede7
60,"Allı Turnam","Kaan Tangöze",0,180,"turkish rock, turkish singer-songwriter","Rock, Pop","Gölge Etme",2015-09-22,04:48,33,19,93,0,21,0,30,-14,B Minor,3,2020-11-27,6SFMrQ1m6z36hPV3GUNZOL,"ADA MÜZİK",10A,,https://i.scdn.co/image/ab67616d000048510a584dc806305804c4c6a436
61,"Ne Kavgam Bitti Ne Sevdam","Sezen Aksu",57,90,"turkish pop","Pop","Gülümse",1991-07-16,03:28,62,85,10,0,96,0,0,-8,E Minor,4,2020-11-27,1Q5tTe940wYaQm8hFg343D,"SN Music",9A,https://p.scdn.co/mp3-preview/9f4ca0cbe282852e8b9d894b025ab009f7013bdb?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d88a971dc45348fe71861f7d
62,"İşte Gidiyorum","Kurtalan Ekspres,Şevval Sam",0,178,"anadolu rock, turkish rock, karadeniz turkuleri, turk sanat muzigi, turkish folk, turkish pop","Rock, Pop, Folk/Acoustic","Göğe Selam, Vol. 2",2014-02-10,03:20,34,48,51,0,27,0,0,-6,G Minor,4,2020-11-27,1rgY0IGnbrPMK7nCMqnJXG,"Arpej Yapım",6A,,https://i.scdn.co/image/ab67616d00004851fc25154c99190994da135e9c
63,"Yürekten","Duman",51,82,"anadolu rock, karadeniz turkuleri, turkish alternative, turkish alternative rock, turkish rock","Rock, Pop","Seni Kendime Sakladım",2005-07-04,04:26,59,56,55,0,20,0,10,-5,F Major,4,2020-11-27,7pNPIL5BhYOQwy9nakSBdS,"EMI - Kent Elektronik Sanayi ve Ticaret A.S.",7B,,https://i.scdn.co/image/ab67616d00004851d5a587c7de8efc3ba32bede7
64,"Nabız","Hidra,Şehinşah,FerzanBeats",0,152,"turkish hip hop, turkish trap, ","Hip Hop","Yarım Kalan",2017-12-17,04:18,69,74,36,0,10,20,10,-7,G#/A♭ Major,4,2020-11-27,77heifHtFRJgA53I7G3D5T,"Dokuz Sekiz Müzik",4B,,https://i.scdn.co/image/ab67616d0000485100e7298229ee501a2325cb9b
65,"Fade","Lewis Capaldi",33,138,"pop, uk pop","Pop","Fade",2017-10-06,04:04,42,41,26,0,9,0,0,-10,G Major,4,2020-11-27,3kWYYmYKM35SiZjlDLvkbC,"Vertigo Berlin",9B,,https://i.scdn.co/image/ab67616d000048512aa4715cbeb98b7f471d4807
