#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"Yanıbaşımdan","Duman",58,72,"anadolu rock, karadeniz turkuleri, turkish alternative, turkish alternative rock, turkish rock","Rock, Pop","Seni Kendime Sakladım",2005-07-04,04:44,50,47,66,0,16,0,0,-6,G Minor,4,2020-11-27,5XMAeSjjinBwKjdANxHbeZ,"EMI - Kent Elektronik Sanayi ve Ticaret A.S.",6A,,https://i.scdn.co/image/ab67616d00004851d5a587c7de8efc3ba32bede7
2,"Nilüfer","Yaşlı Amca",0,81,"turkish alternative rock, turkish rock","Rock","Yaşlı Amca",2020-01-10,03:55,61,61,17,0,55,0,0,-7,A#/B♭ Minor,4,2020-11-27,3Ls8IvlDFQaPvsQqoEB7zp,"GARAJ",3A,,https://i.scdn.co/image/ab67616d00004851efc85545691dba14a2206824
3,"Ah","Duman",57,80,"anadolu rock, karadeniz turkuleri, turkish alternative, turkish alternative rock, turkish rock","Rock, Pop","Belki Alışman Lazım",2002-10-16,04:53,57,56,3,0,36,0,20,-7,C Minor,4,2020-11-27,3Cy35QXC9KNPtpoV4gh8Ve,"EMI - Kent Elektronik Sanayi ve Ticaret A.S.",5A,,https://i.scdn.co/image/ab67616d000048518c0559b991acf898adfede08
4,"Dance Monkey","Tones And I",72,98,"australian pop","Pop","The Kids Are Coming",2019-08-29,03:29,82,59,69,0,51,0,10,-6,F#/G♭ Minor,4,2020-11-27,5ZULALImTm80tzUbYQYM9d,"Elektra (NEK)",11A,https://p.scdn.co/mp3-preview/d03d7e46e89547f5a1994483f27e221c8de1f5c5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851aa1beea495a0070294c30e31
5,"Dünya'dan Atlas'a","Şehinşah",60,130,"turkish hip hop, turkish trap","Hip Hop","Dünya'dan Atlas'a",2018-11-04,04:05,79,58,19,0,20,10,20,-8,D Major,4,2020-11-27,0ewiq9snqyF3dULzbMqI3J,"Alamut Haremeyn",10B,https://p.scdn.co/mp3-preview/b2aabb9eb8334ae9bfc1c61c2026d61ac7f6cf12?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515a450f30d86b5098e6d955a7
6,"Geceler","Ezhel",70,130,"turkish hip hop, turkish trap","Hip Hop","Müptezhel",2017-05-25,03:42,79,50,37,0,34,10,0,-11,B Minor,4,2020-11-27,0R0o8uOkDz40XsR6uwThfQ,"KOAL",10A,https://p.scdn.co/mp3-preview/9291c21cc4bb988c48a3c05b18cbe57fafe0e888?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ecd10eea07796a0edf4fb609
7,"En Güzel Günüm Gecem","Duman",27,155,"anadolu rock, karadeniz turkuleri, turkish alternative, turkish alternative rock, turkish rock","Rock, Pop","En Güzel Günüm Gecem 1999-2006",2007-12-10,03:38,47,89,29,0,33,0,20,-5,C♯/D♭ Minor,4,2020-11-27,3hNifXPu8YthqVeFmzxgcf,"EMI - Kent Elektronik Sanayi ve Ticaret A.S.",12A,,https://i.scdn.co/image/ab67616d000048516f914677a391177bd54d5fc5
8,"If We Have Each Other","Alec Benjamin",81,173,"alt z, pop, pov: indie","Pop","Narrated For You",2018-11-16,03:01,66,58,70,0,86,0,30,-6,A#/B♭ Minor,4,2020-11-27,7pT6WSg4PCt4mr5ZFyUfsF,"2018",3A,https://p.scdn.co/mp3-preview/8a63f21ae64cdb7e8a87497ddbfd71f932a76d68?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851459d675aa0b6f3b211357370
9,"Son Kez","Rota",63,132,"turkish hip hop","Hip Hop","Son Kez",2018-09-18,04:55,78,49,85,0,39,0,10,-11,F#/G♭ Minor,4,2020-11-27,63fjQLjhsxOAJvuud4qdJX,"Rota Records",11A,https://p.scdn.co/mp3-preview/38e7a961d6917910d02aaf26d6288f82d299e294?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c5bd7b30ad15281038b0d6e0
10,"Hayal Edemezsin","Fikri Karayel",49,67,"turkish pop, turkish rock","Pop, Rock","Zor Zamanlar",2014-00-00,03:12,53,51,89,0,38,0,20,-8,A Minor,4,2020-11-27,7At465s7IzuuhSBAoqFQgT,"Dokuz Sekiz Müzik",8A,https://p.scdn.co/mp3-preview/5e0d2489a301ee0e8c2004a8bd96fb78cf6ed7b2?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e71fdb373d8b5d7b7b57cb31
